corpus,cell,K_available,K_pool,n_subsets,phi_min,phi_p25,phi_med,phi_p75,phi_max,phi_full,phi_greedy_min,phi_greedy_max
PromptEval,philosophy|google_flan_t5_xl,100,3,1500,0.0,0.0,1.3791201237232479e-05,0.0003722648871485877,0.004598650695304974,0.00024224656166473848,0.0,0.005972531858090437
PromptEval,philosophy|google_flan_t5_xl,100,4,1500,0.0,0.0,7.584820705992855e-05,0.0004205026041489609,0.0029846631052903617,0.00024224656166473848,0.0,0.005655594285163189
PromptEval,philosophy|google_flan_t5_xl,100,5,1500,0.0,0.0,9.520064782255283e-05,0.0004271943591514553,0.0025620118622390886,0.00024224656166473848,0.0,0.005017565612729902
PromptEval,philosophy|google_flan_t5_xl,100,6,1500,0.0,0.0,0.00011859271813694685,0.0004302457232616734,0.0027277566477001596,0.00024224656166473848,0.0,0.004428558830662053
PromptEval,philosophy|google_flan_t5_xl,100,8,1500,0.0,0.0,0.0001373991667405372,0.00040333318689621093,0.0024056648382825797,0.00024224656166473848,0.0,0.003669895485511667
PromptEval,philosophy|google_flan_t5_xl,100,10,1500,0.0,0.0,0.00016317735623997168,0.0004230030228383234,0.001655889440647718,0.00024224656166473848,0.0,0.003068778692253609
PromptEval,philosophy|google_flan_t5_xl,100,20,1500,0.0,8.361669334611507e-05,0.0002174016937618077,0.00038966647152991656,0.0011436609781219312,0.00024224656166473848,,
PromptEval,philosophy|google_flan_t5_xl,100,50,1500,0.0,0.00017022675098470112,0.00024797026297226476,0.00032099155784716176,0.0005394399835442266,0.00024224656166473848,,
PromptEval,philosophy|google_flan_t5_xl,100,100,1,0.00024224656166473848,0.00024224656166473848,0.00024224656166473848,0.00024224656166473848,0.00024224656166473848,0.00024224656166473848,,
PromptEval,philosophy|google_gemma_7b_it,100,2,1500,0.0,0.0,4.2332563854647625e-05,0.0010448947540730009,0.04857546979187711,0.0013687884721238918,0.0,0.052644318044293835
PromptEval,philosophy|google_gemma_7b_it,100,3,1500,0.0,0.0,0.00025169898772031316,0.0012556174948421851,0.029302019315188763,0.0013687884721238918,0.0,0.03571869978989001
PromptEval,philosophy|google_gemma_7b_it,100,4,1500,0.0,0.0,0.00037350140291308466,0.0012324059343945743,0.02152417410051063,0.0013687884721238918,0.0,0.02631560694443481
PromptEval,philosophy|google_gemma_7b_it,100,5,1500,0.0,3.370151587026962e-05,0.00045880249282313193,0.0013265362807955963,0.017419060647514816,0.0013687884721238918,0.0,0.021410082225019833
PromptEval,philosophy|google_gemma_7b_it,100,6,1500,0.0,8.421674571770241e-05,0.0005308274797920656,0.0013373256901627142,0.015750559827556358,0.0013687884721238918,0.0,0.01856446659842449
